id;post_parent;image;post_title;post_content;post_excerpt;post_name;post_status;comment_status;menu_order;_post_permalink;post_date;post_author;place_type;place_city;geo_latitude;geo_longitude;geo_address;place_sub_type;place_culture;place_group;place_country;geo_date;place_wikipedia
5735;0;;Yukarıkavran Yaylası;https://doc-0o-0g-mymaps.googleusercontent.com/untrusted/hostedimage/7lg0eo6ih6s4jldegdded3vjlo/bgfse1dmasdkhh23bvqag6rrdc/1573560000000/OhvjNTYS4ejgm0HgtmR_3ouvYYHiA6fM/15554559074702494883/1AF2TALogdgz9iEVMOIA3DIdp6XnICmNzeYbgT1R5sbT1G9ESHhpkdJjquXu0vb_6iw_yWHqtrQgX9e1rbV4GglgcgJeLwZ8YD39xQFWuIAKZuL9cVTAvWKWns3MIW7QIX-nN0ZApNgtIP1P2swOVD3nhEBvuLOXtm8L7GCcdfwxM8mjAMtNtolJnBNRo-CzVQ8y6_BIQsOz5HGhVSIWtZzIzbZ9I2UkEhcFu_iIs3qvLoxmKlOhgInQsxewDoVv5MOEDYDgnJxSzPrBygZYunvOJunQFuS1tlw?session=0&fife;;yukarikavran-yaylasi;publish;yes;0;https://kulturenvanteri.com/place/yukarikavran-yaylasi/;2019-11-14 20:28:26;Caner Cangul;Yayla;Rize;40.88212;41.13099;;;;Doğal Varlıklar;Türkiye;;
5401;0;;Ayder Yaylası;https://doc-0c-0g-mymaps.googleusercontent.com/untrusted/hostedimage/7lg0eo6ih6s4jldegdded3vjlo/khkmh2hg7ff6ch3a2hdr7ht8ik/1573560000000/OhvjNTYS4ejgm0HgtmR_3ouvYYHiA6fM/15554559074702494883/1AF2TALpDiJXlCjlPZqMdMi1oDaPE0Q7zMyerqvlQVb7Itlokj3iXeRizUEzUpKJtUktz6Wwcj8BuMzd6K9HeP8rsJ2u8E3tAG92nxJYIrLi-Eq4UkJ3kG8GQCOksiDuV_qZeZ9ED21tKqZ0x0AiBZloaxw07ikVTiNtSv9YXQjie0tlGlAh-ESL7rZ8Rqk0_JCWuN8VxbwYNLAEBs1diBkScUSHnY7y9J8_LWKAKZKWKuGrqxmNCWfpbwIyayqryCrc9tghm0ZgJ-eOisDKmnGPLuIH9R0HhVg?session=0&fife;;ayder-yaylasi;publish;yes;0;https://kulturenvanteri.com/place/ayder-yaylasi/;2019-11-14 20:28:12;Caner Cangul;Yayla;Rize;40.9524538;41.1039848;;;;Doğal Varlıklar;Türkiye;;
4450;0;;Simba Şelalesi;Uçarsu Şelalesi;;simba-selalesi;publish;yes;0;https://kulturenvanteri.com/place/simba-selalesi/;2019-11-14 20:27:29;Caner Cangul;Şelale;Trabzon;40.875947;39.523314;;;;Doğal Varlıklar;Türkiye;;
4410;0;;Kuzualan Şelalesi;Kuzalan Şelalesi - Pınarlar Şelalesi;;kuzualan-selalesi;publish;yes;0;https://kulturenvanteri.com/place/kuzualan-selalesi/;2019-11-14 20:27:27;Caner Cangul;Şelale;Giresun;40.632389;38.386231;;;;Doğal Varlıklar;Türkiye;;
4432;0;;Maselevat Şelalesi;Ketekalavi Şelalesi;;maselevat-selalesi;publish;yes;0;https://kulturenvanteri.com/place/maselevat-selalesi/;2019-11-14 20:27:28;Caner Cangul;Şelale;Rize;41.069517;41.134528;;;;Doğal Varlıklar;Türkiye;;
5360;0;;"Gülbahar Hatun Türbesi, Trabzon";Hicri 911 (M. 1505/1506) tarihinde Yavuz Sultan Selim tarafından annesi Gülbahar Hatun için inşa ettirilmiştir.;;gulbahar-hatun-turbesi;publish;no;0;https://kulturenvanteri.com/place/gulbahar-hatun-turbesi/;2019-11-14 20:28:10;Caner Cangul;Türbe;Trabzon;41.003182;39.716219;;;Osmanlı;Dini Yapılar;Türkiye;;
5268;0;;Şeyh Süleyman Efendi Türbesi;Boylam: 41.026517<br>Enlem: 41.151317<br>Sehir: Rize<br>Ilc: Ardeşen;;seyh-suleyman-efendi-turbesi;publish;yes;0;https://kulturenvanteri.com/place/seyh-suleyman-efendi-turbesi/;2019-11-14 20:28:07;Caner Cangul;Türbe;Rize;41.151317;41.026517;;;;Dini Yapılar;Türkiye;;
5270;0;;Ulu Veli Abdurrahman Türbesi;Boylam: 40.609622<br>Enlem: 41.039637<br>Sehir: Rize<br>Ilc: Merkez;;ulu-veli-abdurrahman-turbesi;publish;yes;0;https://kulturenvanteri.com/place/ulu-veli-abdurrahman-turbesi/;2019-11-14 20:28:07;Caner Cangul;Türbe;Rize;41.039637;40.609622;;;;Dini Yapılar;Türkiye;;
5269;0;;Şeyh Osman Niyazi Efendi Türbesi;Boylam: 40.474478<br>Enlem: 40.821644<br>Sehir: Rize<br>Ilc: İkizdere;;seyh-osman-niyazi-efendi-turbesi;publish;yes;0;https://kulturenvanteri.com/place/seyh-osman-niyazi-efendi-turbesi/;2019-11-14 20:28:07;Caner Cangul;Türbe;Rize;40.821644;40.474478;;;;Dini Yapılar;Türkiye;;
5361;0;;Müderris Mahmut Efendi Türbesi;Boylam: 40.279776<br>Enlem: 40.815101<br>Sehir: Trabzon<br>Ilc: Of;;muderris-mahmut-efendi-turbesi;publish;yes;0;https://kulturenvanteri.com/place/muderris-mahmut-efendi-turbesi/;2019-11-14 20:28:10;Caner Cangul;Türbe;Trabzon;40.815101;40.279776;;;;Dini Yapılar;Türkiye;;
